# Sample dataset - REPLACE WITH REAL DATA
# Format: filename,text_label
# Created by create_sample_data.py

sample_000.gif,Hello
sample_001.gif,Thank you
sample_002.gif,Good morning
sample_003.gif,Good night
sample_004.gif,Please
sample_005.gif,Sorry
sample_006.gif,Yes
sample_007.gif,No
sample_008.gif,Help
sample_009.gif,I love you
sample_010.gif,Goodbye
sample_011.gif,How are you
sample_012.gif,Nice to meet you
sample_013.gif,See you later
sample_014.gif,You're welcome
sample_015.gif,Excuse me
sample_016.gif,I don't understand
sample_017.gif,What is your name
sample_018.gif,My name is
sample_019.gif,Where is
sample_020.gif,Hello
sample_021.gif,Thank you
sample_022.gif,Good morning
sample_023.gif,Good night
sample_024.gif,Please
sample_025.gif,Sorry
sample_026.gif,Yes
sample_027.gif,No
sample_028.gif,Help
sample_029.gif,I love you
